Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	1.0000	958.77	0.0010430	418.80	419.84	1.3065	3.7668	4.2136	1545.1	-0.17834	281.98	0.67958	liquid
150.00	1.0000	917.31	0.0010901	631.41	632.50	1.8412	3.5227	4.3054	1467.3	-0.14342	182.59	0.68240	liquid
179.88	1.0000	887.13	0.0011272	761.39	762.52	2.1381	3.3954	4.4045	1392.0	-0.11435	150.24	0.67337	liquid
179.88	1.0000	5.1450	0.19436	2582.7	2777.1	6.5850	1.9271	2.7114	501.02	29.473	15.021	0.036427	vapor
200.00	1.0000	4.8539	0.20602	2622.2	2828.3	6.6955	1.7520	2.4281	517.38	24.344	15.894	0.037211	vapor
250.00	1.0000	4.2965	0.23275	2710.4	2943.1	6.9265	1.6354	2.2106	550.15	16.773	18.046	0.040516	vapor
300.00	1.0000	3.8762	0.25799	2793.6	3051.6	7.1246	1.6096	2.1425	578.49	12.302	20.185	0.044957	vapor
350.00	1.0000	3.5398	0.28250	2875.7	3158.2	7.3029	1.6143	2.1248	604.26	9.4276	22.312	0.050067	vapor
400.00	1.0000	3.2615	0.30661	2957.9	3264.5	7.4669	1.6321	2.1293	628.25	7.4556	24.424	0.055618	vapor
450.00	1.0000	3.0262	0.33045	3040.9	3371.3	7.6200	1.6566	2.1452	650.86	6.0345	26.516	0.061487	vapor
500.00	1.0000	2.8240	0.35411	3125.0	3479.1	7.7641	1.6851	2.1677	672.34	4.9719	28.586	0.067607	vapor
550.00	1.0000	2.6479	0.37766	3210.5	3588.1	7.9008	1.7159	2.1943	692.87	4.1545	30.630	0.073937	vapor
600.00	1.0000	2.4931	0.40111	3297.5	3698.6	8.0310	1.7484	2.2237	712.57	3.5115	32.647	0.080443	vapor
650.00	1.0000	2.3557	0.42449	3386.0	3810.5	8.1557	1.7820	2.2548	731.55	2.9963	34.634	0.087099	vapor
700.00	1.0000	2.2330	0.44783	3476.2	3924.1	8.2755	1.8161	2.2871	749.89	2.5772	36.591	0.093883	vapor
750.00	1.0000	2.1226	0.47112	3568.1	4039.3	8.3909	1.8506	2.3201	767.66	2.2318	38.518	0.10078	vapor
800.00	1.0000	2.0227	0.49438	3661.7	4156.1	8.5024	1.8850	2.3534	784.93	1.9440	40.414	0.10777	vapor
850.00	1.0000	1.9319	0.51762	3757.0	4274.6	8.6103	1.9192	2.3866	801.74	1.7018	42.280	0.11486	vapor
900.00	1.0000	1.8490	0.54083	3853.9	4394.8	8.7150	1.9529	2.4196	818.13	1.4961	44.115	0.12202	vapor
950.00	1.0000	1.7730	0.56403	3952.5	4516.5	8.8166	1.9860	2.4520	834.14	1.3200	45.920	0.12925	vapor
1000.0	1.0000	1.7030	0.58721	4052.7	4639.9	8.9155	2.0184	2.4839	849.81	1.1683	47.696	0.13655	vapor
