Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	8.0000	962.02	0.0010395	416.79	425.11	1.3011	3.7561	4.1979	1560.0	-0.17949	283.86	0.68341	liquid
150.00	8.0000	921.22	0.0010855	628.17	636.86	1.8335	3.5162	4.2834	1486.0	-0.14618	184.36	0.68711	liquid
200.00	8.0000	869.48	0.0011501	845.74	854.94	2.3205	3.3138	4.4597	1355.2	-0.095338	135.92	0.66890	liquid
250.00	8.0000	803.49	0.0012446	1075.8	1085.7	2.7839	3.1535	4.8176	1169.5	-0.0036043	107.23	0.62629	liquid
295.01	8.0000	722.20	0.0013847	1306.2	1317.3	3.2081	3.0594	5.6141	936.26	0.18329	87.766	0.55634	liquid
295.01	8.0000	42.507	0.023526	2570.5	2758.7	5.7450	2.9128	5.8823	483.94	11.255	19.397	0.067056	vapor
300.00	8.0000	41.188	0.024279	2592.3	2786.5	5.7937	2.7354	5.2933	493.38	11.072	19.651	0.065797	vapor
350.00	8.0000	33.361	0.029975	2748.3	2988.1	6.1321	2.0977	3.3287	553.63	8.9402	22.094	0.062259	vapor
400.00	8.0000	29.117	0.034344	2864.6	3139.4	6.3658	1.9072	2.8040	593.56	7.1912	24.410	0.064350	vapor
450.00	8.0000	26.182	0.038194	2967.8	3273.3	6.5579	1.8334	2.5827	625.72	5.8595	26.639	0.068415	vapor
500.00	8.0000	23.942	0.041767	3065.4	3399.5	6.7266	1.8078	2.4762	653.60	4.8439	28.803	0.073520	vapor
550.00	8.0000	22.138	0.045172	3160.5	3521.8	6.8799	1.8058	2.4240	678.71	4.0565	30.910	0.079275	vapor
600.00	8.0000	20.634	0.048463	3254.7	3642.4	7.0221	1.8169	2.4014	701.83	3.4346	32.967	0.085448	vapor
650.00	8.0000	19.352	0.051675	3348.9	3762.3	7.1556	1.8356	2.3962	723.45	2.9349	34.978	0.091877	vapor
700.00	8.0000	18.239	0.054828	3443.6	3882.2	7.2821	1.8592	2.4022	743.87	2.5276	36.947	0.098452	vapor
750.00	8.0000	17.260	0.057937	3539.1	4002.6	7.4028	1.8858	2.4154	763.32	2.1912	38.876	0.10511	vapor
800.00	8.0000	16.390	0.061011	3635.7	4123.8	7.5184	1.9143	2.4334	781.94	1.9104	40.766	0.11181	vapor
850.00	8.0000	15.611	0.064057	3733.5	4246.0	7.6297	1.9439	2.4547	799.86	1.6737	42.620	0.11855	vapor
900.00	8.0000	14.907	0.067082	3832.6	4369.3	7.7371	1.9740	2.4781	817.18	1.4724	44.439	0.12531	vapor
950.00	8.0000	14.268	0.070088	3933.1	4493.8	7.8411	2.0042	2.5028	833.98	1.3000	46.224	0.13208	vapor
1000.0	8.0000	13.684	0.073079	4035.0	4619.6	7.9419	2.0342	2.5283	850.30	1.1512	47.978	0.13887	vapor
