Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	4.0000	960.17	0.0010415	417.93	422.10	1.3042	3.7622	4.2068	1551.5	-0.17884	282.79	0.68122	liquid
150.00	4.0000	919.00	0.0010881	630.01	634.36	1.8379	3.5199	4.2958	1475.4	-0.14463	183.35	0.68442	liquid
200.00	4.0000	866.51	0.0011541	848.65	853.27	2.3267	3.3164	4.4817	1341.0	-0.091736	134.93	0.66545	liquid
250.00	4.0000	798.92	0.0012517	1080.8	1085.8	2.7935	3.1565	4.8698	1148.4	0.0061687	106.12	0.62122	liquid
250.35	4.0000	798.37	0.0012526	1082.5	1087.5	2.7968	3.1555	4.8739	1146.8	0.0071661	105.95	0.62079	liquid
250.35	4.0000	20.090	0.049776	2601.7	2800.8	6.0696	2.4686	4.0203	501.55	16.013	17.508	0.051357	vapor
300.00	4.0000	16.987	0.058870	2726.2	2961.7	6.3639	1.9195	2.8185	550.16	12.137	19.881	0.051189	vapor
350.00	4.0000	15.044	0.066473	2827.4	3093.3	6.5843	1.7820	2.4976	585.02	9.3506	22.160	0.054312	vapor
400.00	4.0000	13.618	0.073431	2920.7	3214.5	6.7714	1.7358	2.3665	614.37	7.3957	24.372	0.058837	vapor
450.00	4.0000	12.493	0.080043	3011.0	3331.2	6.9386	1.7265	2.3097	640.52	5.9834	26.533	0.064124	vapor
500.00	4.0000	11.568	0.086442	3100.3	3446.0	7.0922	1.7350	2.2884	664.50	4.9290	28.650	0.069903	vapor
550.00	4.0000	10.788	0.092700	3189.5	3560.3	7.2355	1.7532	2.2865	686.88	4.1192	30.726	0.076033	vapor
600.00	4.0000	10.115	0.098859	3279.4	3674.9	7.3705	1.7772	2.2963	707.99	3.4826	32.764	0.082421	vapor
650.00	4.0000	9.5288	0.10494	3370.3	3790.1	7.4988	1.8047	2.3133	728.07	2.9727	34.765	0.088992	vapor
700.00	4.0000	9.0109	0.11098	3462.4	3906.3	7.6214	1.8345	2.3351	747.29	2.5578	36.729	0.095695	vapor
750.00	4.0000	8.5495	0.11697	3555.8	4023.6	7.7390	1.8656	2.3601	765.77	2.2158	38.658	0.10249	vapor
800.00	4.0000	8.1352	0.12292	3650.6	4142.3	7.8523	1.8975	2.3871	783.62	1.9307	40.553	0.10937	vapor
850.00	4.0000	7.7609	0.12885	3747.0	4262.4	7.9616	1.9298	2.4154	800.90	1.6906	42.415	0.11631	vapor
900.00	4.0000	7.4206	0.13476	3844.8	4383.9	8.0674	1.9619	2.4444	817.70	1.4866	44.244	0.12330	vapor
950.00	4.0000	7.1099	0.14065	3944.2	4506.8	8.1701	1.9938	2.4736	834.05	1.3120	46.041	0.13034	vapor
1000.0	4.0000	6.8248	0.14652	4045.1	4631.2	8.2697	2.0252	2.5028	850.00	1.1615	47.807	0.13742	vapor
